sepal_length,sepal_width,petal_length,petal_width,species,petal_ratio
6.3,2.8,5.1,1.5,virginica,3.4
6.1,2.6,5.6,1.4,virginica,4.0
7.7,3.0,6.1,2.3,virginica,2.6521739130434785
6.3,3.4,5.6,2.4,virginica,2.3333333333333335
6.4,3.1,5.5,1.8,virginica,3.0555555555555554
6.0,3.0,4.8,1.8,virginica,2.6666666666666665
6.9,3.1,5.4,2.1,virginica,2.5714285714285716
6.7,3.1,5.6,2.4,virginica,2.3333333333333335
6.9,3.1,5.1,2.3,virginica,2.217391304347826
5.8,2.7,5.1,1.9,virginica,2.6842105263157894
6.8,3.2,5.9,2.3,virginica,2.565217391304348
6.7,3.3,5.7,2.5,virginica,2.2800000000000002
6.7,3.0,5.2,2.3,virginica,2.2608695652173916
6.3,2.5,5.0,1.9,virginica,2.6315789473684212
6.5,3.0,5.2,2.0,virginica,2.6
6.2,3.4,5.4,2.3,virginica,2.347826086956522
5.9,3.0,5.1,1.8,virginica,2.833333333333333
